k,knn
1,1
6,18.3333333333333333
7,40.2857142857142857
7,41.2857142857142857
7,148.8571428571428571
8,35.25
9,59.3333333333333333
9,62.6666666666666667
9,64.3333333333333333
9,152.1111111111111111
10,61.7
10,99.3
10,121.4
11,55.1818181818181818
11,64.5454545454545455
11,71.8181818181818182
12,20.6666666666666667
12,33.4166666666666667
12,83.0833333333333333
12,87.3333333333333333
13,69.4615384615384615
13,76.8461538461538462
13,89.2307692307692308
13,113.8461538461538462
13,145.2307692307692308
14,55.7142857142857143
14,74.0714285714285714
14,78.7142857142857143
14,80.1428571428571429
14,80.9285714285714286
14,83.3571428571428571
14,93.1428571428571429
14,119.7142857142857143
15,52.3333333333333333
15,68.6
15,74.8
15,86.4666666666666667
15,87.5333333333333333
16,26.5625
16,39.75
16,73.3125
16,125.5625
16,144.3125
16,153.6875
17,60.9411764705882353
17,85.8823529411764706
17,86.9411764705882353
17,106.4117647058823529
17,108.2941176470588235
17,119.1764705882352941
17,131.2352941176470588
18,66.0555555555555556
18,69.5555555555555556
18,71.3333333333333333
18,86.0555555555555556
18,96.3888888888888889
18,100
18,116.5555555555555556
19,50.5263157894736842
19,64.4736842105263158
19,66.6842105263157895
19,84.3157894736842105
19,94.7894736842105263
19,94.8947368421052632
20,62.95
20,70.7
20,72
20,79.95
20,115.5
21,33.619047619047619
21,58.7619047619047619
21,75.619047619047619
21,90.1904761904761905
21,93.7142857142857143
21,103.6666666666666667
21,108.1904761904761905
21,113.1428571428571429
21,129.8571428571428571
22,57.8636363636363636
22,62.1363636363636364
22,75.0454545454545455
22,96.7727272727272727
22,97.5454545454545455
22,104.2272727272727273
22,120.4090909090909091
23,65.0869565217391304
23,79.3478260869565217
23,101.5652173913043478
23,103.2608695652173913
23,130.9130434782608696
23,143.9130434782608696
24,66.2083333333333333
24,81.75
24,87.7083333333333333
24,96.5416666666666667
24,98.9166666666666667
24,108.75
24,116.5
24,124.2083333333333333
24,130.0416666666666667
25,107.32
25,134.72
26,55.1923076923076923
26,67.1923076923076923
26,86.4615384615384615
26,95.0769230769230769
26,98.7692307692307692
26,103.5
26,116.9230769230769231
27,53.5555555555555556
27,71.2222222222222222
27,75.2962962962962963
27,75.5555555555555556
27,79.2592592592592593
27,87.962962962962963
27,92.2962962962962963
27,111.0740740740740741
27,124.2962962962962963
28,73.9642857142857143
28,76.4642857142857143
28,82.2857142857142857
28,82.6428571428571429
28,82.6785714285714286
28,105.3571428571428571
28,108.6428571428571429
28,120.0357142857142857
28,131.2142857142857143
29,71.1724137931034483
29,84.6206896551724138
29,88.8620689655172414
29,92.0344827586206897
29,98.0344827586206897
29,98.7241379310344828
29,101.8620689655172414
29,120.4482758620689655
30,88.8666666666666667
30,103.1333333333333333
30,103.8333333333333333
30,105.4333333333333333
30,105.7
30,106.0666666666666667
30,110.3
30,118.4333333333333333
30,157.5
31,63.1935483870967742
31,80
31,80.6129032258064516
31,84.4193548387096774
31,92.1612903225806452
31,97.1612903225806452
31,110.4516129032258065
31,138.4838709677419355
32,62.28125
32,80.84375
32,81.9375
32,90.15625
32,114.53125
32,116.6875
33,96.303030303030303
33,110.5757575757575758
33,115.9696969696969697
33,116.303030303030303
33,120.1515151515151515
34,74.3823529411764706
34,78.1764705882352941
34,83.8235294117647059
34,85.0882352941176471
34,85.6764705882352941
34,93.7941176470588235
34,94.1764705882352941
34,111.1470588235294118
34,119.0294117647058824
34,132.0882352941176471
34,134.7941176470588235
