degree,pk
2,0.02564102564102564103
4,0.05128205128205128205
5,0.05128205128205128205
9,0.02564102564102564103
10,0.05128205128205128205
11,0.05128205128205128205
12,0.02564102564102564103
13,0.02564102564102564103
14,0.02564102564102564103
15,0.02564102564102564103
16,0.05128205128205128205
17,0.1025641025641025641
18,0.05128205128205128205
19,0.05128205128205128205
20,0.02564102564102564103
21,0.1025641025641025641
22,0.02564102564102564103
24,0.02564102564102564103
25,0.07692307692307692308
27,0.07692307692307692308
29,0.02564102564102564103
30,0.02564102564102564103
