route_id,stop_name
1060,Aquincum
0550,Ár utca
2944,Ár utca
0945,Ár utca
0944,Ár utca
2945,Ár utca
0895,Ár utca
1401,Aradi utca
1210,Aradi utca
0400,Aradi utca
1880,Aradi utca
0402,Aradi utca
1012,Aradi utca
1015,Aradi utca
0881,Aradi utca
2400,Aradi utca
1400,Aradi utca
1500,Aradi utca
0880,Aradi utca
2502,Arany János utca
MP53,Arany János utca
2500,Arany János utca
0250,Arany János utca
1571,Arany János utca
0090,Arany János utca
4728,Arany János utca
4724,Arany János utca
1570,Arany János utca
4734,Arany János utca
1250,Arany János utca
0980,Aranykút utca
1980,Aranykút utca
1810,Aranyvirág sétány
2810,Aranyvirág sétány
1580,Arató utca
0580,Arató utca
4800,Arenaall bevásárlóközpont
4808,Arenaall bevásárlóközpont
4758,Arenaall bevásárlóközpont
4778,Arenaall bevásárlóközpont
4801,Arenaall bevásárlóközpont
2250,Árokhát út
1700,Árokhát út
1250,Árokhát út
2700,Árokhát út
1980,Ároktő út
2765,Ároktő út
0980,Ároktő út
1765,Ároktő út
1041,Árpád Kórház
2040,Árpád Kórház
1961,Árpád Kórház
2700,Árpád Kórház
1700,Árpád Kórház
0250,Árpád Kórház
1040,Árpád Kórház
1960,Árpád Kórház
1210,Árpád út
2040,Árpád út
1041,Árpád út
1040,Árpád út
2700,Árpád út
3500,Árpád utca
1695,Árpád utca
0845,Árpád utca
0844,Árpád utca
3508,Árpád utca
2502,Árpád utca
0931,Árpád utca
0950,Árpád utca
1365,Árpád utca
0930,Árpád utca
2500,Árpád utca
1960,Árpád üzletház
2040,Árpád üzletház
1040,Árpád üzletház
1041,Árpád üzletház
1700,Árpád üzletház
2200,Árpád üzletház
0205,Árpád üzletház
0250,Árpád üzletház
1961,Árpád üzletház
2700,Árpád üzletház
0380,Áruházi bekötőút
2800,Áruházi bekötőút
2380,Áruházi bekötőút
0381,Áruházi bekötőút
1380,Áruházi bekötőút
2792,Áruházi bekötőút
2802,Áruházi bekötőút
2790,Áruházi bekötőút
3478,Astoria
0085,Astoria
1780,Astoria
1085,Astoria
0050,Astoria
3490,Astoria
4728,Astoria
1335,Astoria
0090,Astoria
3480,Astoria
4740,Astoria
1120,Astoria
MP53,Astoria
4724,Astoria
3498,Astoria
3470,Astoria
0070,Astoria
5200,Astoria
1100,Astoria
1810,Aszódi utca
2810,Aszódi utca
3370,Asztalos Sándor út
3014,Asztalos Sándor út
3410,Asztalos Sándor út
3371,Asztalos Sándor út
3040,Asztalos Sándor út
3010,Asztalos Sándor út
1620,Athenaeum Nyomda
2620,Athenaeum Nyomda
1621,Athenaeum Nyomda
0680,Athenaeum Nyomda
1611,Athenaeum Nyomda
1610,Athenaeum Nyomda
1950,Athenaeum Nyomda
3148,Atlétikai stadion
3140,Atlétikai stadion
1470,Attila utca
1510,Attila utca
1340,Attila utca
0381,Auchan Sziget áruház
0380,Auchan Sziget áruház
2800,Auchan Sziget áruház
1380,Auchan Sziget áruház
2380,Auchan Sziget áruház
2790,Auchan Sziget áruház
2792,Auchan Sziget áruház
2802,Auchan Sziget áruház
0540,Autópiac
0550,Autópiac
0110,Baba utca
1110,Baba utca
2040,Bagaria utca
1041,Bagaria utca
1040,Bagaria utca
1100,BAH-csomópont
0085,BAH-csomópont
1085,BAH-csomópont
2120,BAH-csomópont
1120,BAH-csomópont
1390,BAH-csomópont
1400,BAH-csomópont
3610,BAH-csomópont
3170,BAH-csomópont
1401,BAH-csomópont
0950,Bajcsy-Zsilinszky Kórház
3280,Bajcsy-Zsilinszky Kórház
3281,Bajcsy-Zsilinszky Kórház
1950,Bajcsy-Zsilinszky Kórház
3370,Bajcsy-Zsilinszky Kórház
5100,Bajcsy-Zsilinszky út
3500,Bajcsy-Zsilinszky út
1050,Bajcsy-Zsilinszky út
3508,Bajcsy-Zsilinszky út
0710,Bajcsy-Zsilinszky út
1520,Bajcsy-Zsilinszky út
2360,Bajcsy-Zsilinszky út
1510,Bajcsy-Zsilinszky út
2361,Bajcsy-Zsilinszky út
0895,Bajcsy-Zsilinszky utca
0641,Bajcsy-Zsilinszky utca
1640,Bajcsy-Zsilinszky utca
0640,Bajcsy-Zsilinszky utca
2640,Bajcsy-Zsilinszky utca
4724,Bajza utca
1050,Bajza utca
5100,Bajza utca
4728,Bajza utca
1620,Bakancsos utca
1950,Bakancsos utca
0460,Bakancsos utca
2025,Bakancsos utca
1610,Bakancsos utca
2615,Bakancsos utca
1621,Bakancsos utca
1980,Bakancsos utca
2620,Bakancsos utca
1695,Bakancsos utca
1615,Bakancsos utca
0975,Bakancsos utca
1500,Balatoni út /áros utca
1410,Balatoni út /áros utca
3040,Balázs Béla utca
2810,Balázs Béla utca
3240,Balázs Béla utca
3024,Balázs Béla utca
3370,Balázs Béla utca
2040,Bálint György utca
2960,Bálint György utca
1340,Bálint György utca
3030,Balkán utca
3428,Balkán utca
3370,Balkán utca
2800,Bánki Donát utca
2792,Bánki Donát utca
2802,Bánki Donát utca
0320,Bánki Donát utca
2790,Bánki Donát utca
1960,Bánkút utca
2961,Bánkút utca
1300,Bánkút utca
1961,Bánkút utca
0960,Bánkút utca
2960,Bánkút utca
1240,Bánkút utca
0360,Bánya utca
0350,Bánya utca
2802,Bányató út
2792,Bányató út
2800,Bányató út
2790,Bányató út
2025,Bányató utca
0850,Bányató utca
0855,Bányató utca
1280,Barabás Villa
1290,Barabás Villa
1131,Barackos út / Angeli utca
0130,Barackos út / Angeli utca
0131,Barackos út / Angeli utca
0880,Barackos út / Angeli utca
1130,Barackos út / Angeli utca
1140,"Baross Gábor-telep, Ispiláng utca"
2140,"Baross Gábor-telep, Ispiláng utca"
0880,Baross Gábor utca
2720,Baross Gábor utca
0930,Baross utca
0985,Baross utca
0360,Baross utca
1310,Baross utca
0662,Baross utca
1685,Baross utca
3508,Baross utca
2360,Baross utca
0460,Baross utca
0665,Baross utca
0980,Baross utca
1300,Baross utca
1510,Baross utca
2870,Baross utca
0078,Baross utca
0931,Baross utca
1470,Baross utca
1980,Baross utca
1750,Baross utca
0660,Baross utca
0405,Baross utca
2770,Baross utca
3500,Baross utca
1365,Baross utca
2361,Baross utca
2310,Baross utca
0960,Baross utca
1470,Baross utca / Fóti út
0960,Baross utca / Fóti út
2300,Baross utca / Fóti út
0300,Baross utca / Fóti út
0301,Baross utca / Fóti út
0130,Barosstelep vasútállomás
1130,Barosstelep vasútállomás
0880,Barosstelep vasútállomás
0131,Barosstelep vasútállomás
1131,Barosstelep vasútállomás
1365,Barta Lajos utca
2360,Barta Lajos utca
2361,Barta Lajos utca
1944,Barta Lajos utca
1980,Bártfai utca
3010,Bártfai utca
2765,Bártfai utca
1765,Bártfai utca
1030,Bártfai utca
0980,Bártfai utca
0580,Bártfai utca
1335,Bartók Béla út
0330,Bartók Béla út
1720,Bartók Béla utca
2720,Bartók Béla utca
1402,Bartók Béla utca
0880,Bartók Béla utca
1730,Bartók Béla utca
1400,Bartók Béla utca
0881,Bartók Béla utca
4734,Báthory utca / Bajcsy-Zsilinszky út
4780,Báthory utca / Bajcsy-Zsilinszky út
4728,Báthory utca / Bajcsy-Zsilinszky út
0090,Báthory utca / Bajcsy-Zsilinszky út
4700,Báthory utca / Bajcsy-Zsilinszky út
4724,Báthory utca / Bajcsy-Zsilinszky út
0570,Bátori László utca
0641,Bátori László utca
1640,Bátori László utca
2640,Bátori László utca
0630,Bátori László utca
1570,Bátori László utca
1571,Bátori László utca
0640,Bátori László utca
2570,Bátori László utca
0921,Batthyány Ilona utca
0450,Batthyány Ilona utca
0920,Batthyány Ilona utca
0390,Batthyány tér
3410,Batthyány tér
8110,Batthyány tér
3190,Batthyány tér
0110,Batthyány tér
1090,Batthyány tér
5200,Batthyány tér
1110,Batthyány tér
3198,Batthyány tér
0540,Batthyány utca
0920,Batthyány utca
0310,Batthyány utca
2770,Batthyány utca
1300,Batthyány utca
1942,Batthyány utca
1740,Batthyány utca
2440,Batthyány utca
0550,Batthyány utca
0921,Batthyány utca
1940,Batthyány utca
1990,Batthyány utca
1440,Batthyány utca
0161,Bécsi kapu tér
1160,Bécsi kapu tér
0160,Bécsi kapu tér
3190,Bécsi út / Vörösvári út
3014,Bécsi út / Vörösvári út
3170,Bécsi út / Vörösvári út
3010,Bécsi út / Vörösvári út
3198,Bécsi út / Vörösvári út
3410,Bécsi út / Vörösvári út
1600,Bécsi út / Vörösvári út
2370,Bécsi út / Vörösvári út
2600,Bécsi út / Vörösvári út
1370,Bécsi út / Vörösvári út
2180,Bécsi út / Vörösvári út
2040,Békásmegyer
6400,Békásmegyer
1340,Békásmegyer
1600,Békásmegyer
6470,Békásmegyer
2430,Békásmegyer
0340,Békásmegyer
2960,Békásmegyer
2960,"Békásmegyer, Újmegyeri tér"
1340,"Békásmegyer, Újmegyeri tér"
2040,"Békásmegyer, Újmegyeri tér"
0340,"Békásmegyer, Újmegyeri tér"
3410,Béke tér
0320,Béke tér
3014,Béke tér
1050,Béke tér
3010,Béke tér
3170,Béke tér
0350,Béke tér
0360,Béke tér
3148,Béke tér
3140,Béke tér
2802,Béke utca
2792,Béke utca
0320,Béke utca
0960,Béla utca
2040,Béla utca
1040,Béla utca
1041,Béla utca
1980,Bélatelepi út
0980,Bélatelepi út
0985,Bélatelepi út
2961,Beller Imre utca
0960,Beller Imre utca
1960,Beller Imre utca
2250,Beller Imre utca
2240,Beller Imre utca
0250,Beller Imre utca
2960,Beller Imre utca
1961,Beller Imre utca
1240,Beller Imre utca
1090,Bem József tér
3190,Bem József tér
3198,Bem József tér
3410,Bem József tér
1140,Bem tábornok utca
2130,Bem tábornok utca
2140,Bem tábornok utca
2870,Bem tábornok utca
4794,Benczúr utca
4750,Benczúr utca
0300,Benczúr utca
4758,Benczúr utca
2300,Benczúr utca
0301,Benczúr utca
0230,Beöthy utca
0540,Beöthy utca
0550,Beöthy utca
2960,Bercsényiiklós utca
0960,Bercsényiiklós utca
1240,Bercsényiiklós utca
2961,Bercsényiiklós utca
1942,Besence utca
1980,Besence utca
0360,Besence utca
1660,Beszterce utca
2660,Beszterce utca
1750,Besztercebányai utca
1310,Besztercebányai utca
4728,Bethesda utca
4724,Bethesda utca
4740,Bethesda utca
0845,Bethlen Gábor utca
0550,Bethlen Gábor utca
4780,Bethlen Gábor utca
2945,Bethlen Gábor utca
0895,Bethlen Gábor utca
0540,Bethlen Gábor utca
0844,Bethlen Gábor utca
2944,Bethlen Gábor utca
2310,Bezerédj Pál utca
1961,Bezerédj Pál utca
1960,Bezerédj Pál utca
2250,Bezerédj Pál utca
1012,Bíbic utca
1500,Bíbic utca
1015,Bíbic utca
1030,Bikás park
3010,Bikás park
0070,Bikás park
5400,Bikás park
2140,Bikás park
0580,Bikás park
2130,Bikás park
1530,Bikás park
1140,Bikás park
0662,"BILK, bekötőút"
0665,"BILK, bekötőút"
0665,"BILK, DF épület"
0662,"BILK, DF épület"
0930,Billentyű utca
2005,Billentyű utca
0910,Bimbó út
2910,Bimbó út
2220,Bíróság
0221,Bíróság
0220,Bíróság
3280,Blaha Lujza tér
3281,Blaha Lujza tér
1120,Blaha Lujza tér
4778,Blaha Lujza tér
3040,Blaha Lujza tér
0990,Blaha Lujza tér
4758,Blaha Lujza tér
5200,Blaha Lujza tér
2175,Blaha Lujza tér
1100,Blaha Lujza tér
3370,Blaha Lujza tér
0050,Blaha Lujza tér
4740,Blaha Lujza tér
4768,Blaha Lujza tér
1780,Blaha Lujza tér
0085,Blaha Lujza tér
1335,Blaha Lujza tér
3060,Blaha Lujza tér
4808,Blaha Lujza tér
0075,Blaha Lujza tér
0070,Blaha Lujza tér
1085,Blaha Lujza tér
3371,Blaha Lujza tér
3620,Blaha Lujza tér
0945,Bocskai István utca
2945,Bocskai István utca
0845,Bocskai István utca
0944,Bocskai István utca
0550,Bocskai István utca
0844,Bocskai István utca
2944,Bocskai István utca
0985,Bocskai István utca
0980,Bocskai István utca
0895,Bocskai István utca
1980,Bocskai István utca
1840,Bocskai utca
1821,Bocskai utca
1820,Bocskai utca
1090,Bogdáni út
1110,Bogdáni út
1180,Bogdáni út
1340,Bogdáni út
0340,Bogdáni út
1060,Bogdáni út
0090,Bogdáni út
2600,Bojtár utca
1600,Bojtár utca
2180,Bojtár utca
2180,Bojtár utca (Bécsi út)
1180,Bojtár utca (Bécsi út)
1600,Bojtár utca (Bécsi út)
2600,Bojtár utca (Bécsi út)
3511,Bokréta utca
3370,Bokréta utca
3510,Bokréta utca
3040,Bokréta utca
1100,Boldog Teréz anya tér
1120,Boldog Teréz anya tér
1020,Boldog Teréz anya tér
2510,Bolygó utca
2502,Bolygó utca
2500,Bolygó utca
2511,Bolygó utca
1530,Bolygó utca
1500,Bolygó utca
2120,Boráros tér
3040,Boráros tér
3020,Boráros tér
2234,Boráros tér
8110,Boráros tér
3024,Boráros tér
HP63,Boráros tér
0230,Boráros tér
1150,Boráros tér
0235,Boráros tér
2544,Boráros tér
0150,Boráros tér
3060,Boráros tér
0540,Boráros tér
3028,Boráros tér
0550,Boráros tér
0070,Bornemissza tér
2130,Bornemissza tér
2140,Bornemissza tér
1530,Bornemissza tér
1140,Bornemissza tér
1621,Borsó utca
2025,Borsó utca
0670,Borsó utca
1620,Borsó utca
1611,Borsó utca
2615,Borsó utca
1695,Borsó utca
1615,Borsó utca
1610,Borsó utca
0975,Borsó utca
1950,Borsó utca
2620,Borsó utca
1250,Bosnyák tér
1240,Bosnyák tér
0070,Bosnyák tér
3030,Bosnyák tér
3621,Bosnyák tér
3428,Bosnyák tér
0075,Bosnyák tér
0085,Bosnyák tér
3620,Bosnyák tér
1100,Bosnyák tér
1120,Bosnyák tér
3690,Bosnyák tér
1085,Bosnyák tér
1335,Bosnyák tér
2770,Bosnyák tér
3698,Bosnyák tér
0320,Bosnyák tér
0930,Bozsik Stadion
0931,Bozsik Stadion
0921,Bökényföldi út
1460,Bökényföldi út
1765,Bökényföldi út
0460,Bökényföldi út
2765,Bökényföldi út
0920,Bökényföldi út
0450,Bökényföldi út
0220,Bölcsőde
2220,Bölcsőde
0221,Bölcsőde
0570,Bölény utca
2570,Bölény utca
0290,Bölöni György utca
1290,Bölöni György utca
3148,Bőrfestő utca
3140,Bőrfestő utca
3148,Bőröndös utca
3140,Bőröndös utca
2810,Börzsöny utca
1810,Börzsöny utca
1012,Brassói utca
1015,Brassói utca
1500,Brassói utca
2130,Budafok kocsiszín
3480,Budafok kocsiszín
1140,Budafok kocsiszín
3190,Budafok kocsiszín
3010,Budafok kocsiszín
3478,Budafok kocsiszín
3560,Budafok kocsiszín
3410,Budafok kocsiszín
2140,Budafok kocsiszín
3170,Budafok kocsiszín
3470,Budafok kocsiszín
3560,Budafoki elágazás
3478,Budafoki elágazás
3410,Budafoki elágazás
3470,Budafoki elágazás
2410,Budafoki Szomszédok Piaca
2510,Budafoki Szomszédok Piaca
2411,Budafoki Szomszédok Piaca
2511,Budafoki Szomszédok Piaca
1580,Budafoki temető
0580,Budafoki temető
2502,Budafoki temető
2500,Budafoki temető
1335,Budafoki út / Dombóvári út
3410,Budafoki út / Dombóvári út
1540,Budafoki út / Dombóvári út
0330,Budafoki út / Dombóvári út
3010,Budafoki út / Dombóvári út
3060,Budafoki út / Karinthy Frigyes út
0330,Budafoki út / Karinthy Frigyes út
1335,Budafoki út / Karinthy Frigyes út
1335,Budafoki út / Szerémi sor
1530,Budafoki út / Szerémi sor
1540,Budafoki út / Szerémi sor
0330,Budafoki út / Szerémi sor
3040,Budafoki út / Szerémi sor
2120,Budafoki út / Szerémi sor
35618,Budagyöngye
3561,Budagyöngye
0221,Budagyöngye
3592,Budagyöngye
3560,Budagyöngye
3610,Budagyöngye
0220,Budagyöngye
3170,Budagyöngye
3590,Budagyöngye
1290,Budagyöngye
2220,Budagyöngye
2910,Budagyöngye
1885,Budakeszi temető
1880,Budakeszi temető
2220,Budakeszi temető
0221,"Budakeszi, Dózsa György tér"
1885,"Budakeszi, Dózsa György tér"
0220,"Budakeszi, Tesco áruház"
1885,"Budakeszi, Tesco áruház"
1880,"Budakeszi, Tesco áruház"
1885,"Budakeszi, Tiefenweg utca"
1880,"Budakeszi, Tiefenweg utca"
0220,"Budakeszi, Tiefenweg utca"
1880,"Budakeszi, városháza"
1885,"Budakeszi, városháza"
0221,"Budakeszi, városháza"
0220,"Budakeszi, városháza"
1880,"Budakeszi,onfoglalás sétány"
2220,"Budakeszi,onfoglalás sétány"
1885,"Budakeszi,onfoglalás sétány"
1570,"Budaliget, Géza fejedelem útja"
1571,"Budaliget, Géza fejedelem útja"
1720,"Budaörs, benzinkút"
1730,"Budaörs, benzinkút"
1885,"Budaörs, Gábor Dénes körút"
1880,"Budaörs, Gábor Dénes körút"
1400,"Budaörs, városháza"
1880,"Budaörs, városháza"
0405,"Budaörs, városháza"
0402,"Budaörs, városháza"
2400,"Budaörs, városháza"
0881,"Budaörs, városháza"
0400,"Budaörs, városháza"
2870,"Budaörs, városháza"
0880,"Budaörs, városháza"
1401,"Budaörs, városháza"
0881,Budaörsi Ipari és Technológiai Park
0880,Budaörsi Ipari és Technológiai Park
1400,Budaörsi lakótelep
0402,Budaörsi lakótelep
2400,Budaörsi lakótelep
1402,Budaörsi lakótelep
2870,Budaörsi lakótelep
1401,Budaörsi lakótelep
0405,Budaörsi lakótelep
0400,Budaörsi lakótelep
1870,Budaörsi repülőtér
0870,Budaörsi repülőtér
2120,Budaörsi út / Villányi út
2400,Budaörsi út / Villányi út
3170,Budaörsi út / Villányi út
3610,Budaörsi út / Villányi út
0921,Budapesti út
0440,Budapesti út
0920,Budapesti út
2440,Budapesti út
2770,Budapesti út
1131,Budatétény vasútállomás (Campona)
0880,Budatétény vasútállomás (Campona)
1380,Budatétény vasútállomás (Campona)
0131,Budatétény vasútállomás (Campona)
2870,Budatétény vasútállomás (Campona)
1500,Budatétény vasútállomás (Campona)
1015,Budatétény vasútállomás (Campona)
0130,Budatétény vasútállomás (Campona)
1130,Budatétény vasútállomás (Campona)
2870,Budatétény vasútállomás (Növény utca)
2140,Budatétény vasútállomás (Növény utca)
1130,Budatétény vasútállomás (Növény utca)
1015,Budatétény vasútállomás (Növény utca)
1140,Budatétény vasútállomás (Növény utca)
0131,Budatétény vasútállomás (Növény utca)
0880,Budatétény vasútállomás (Növény utca)
2130,Budatétény vasútállomás (Növény utca)
0130,Budatétény vasútállomás (Növény utca)
0330,Budatétény vasútállomás (Növény utca)
1335,Budatétény vasútállomás (Növény utca)
1131,Budatétény vasútállomás (Növény utca)
1015,"Budatétény, benzinkút"
1012,"Budatétény, benzinkút"
1500,"Budatétény, benzinkút"
1980,Bulyovszky utca
0980,Bulyovszky utca
0460,Bulyovszky utca
2700,Bútorraktár
1700,Bútorraktár
2570,Bükkfa utca
0570,Bükkfa utca
1570,Bükkfa utca
1571,Bükkfa utca
0630,Bükkfa utca
1100,Bürök utca
1120,Bürök utca
1020,Bürök utca
2440,Centenáriumi lakótelep
0440,Centenáriumi lakótelep
1120,Cházár András utca
1100,Cházár András utca
0070,Cházár András utca
0050,Cházár András utca
0910,Cimbalom utca
2910,Cimbalom utca
1460,Cinke utca
0460,Cinke utca
0450,Cinke utca
6150,Cinkota
0920,Cinkota
6130,Cinkota
1750,Cinkota
1740,Cinkota
0921,Cinkota
6100,Cinkota
1765,Cinkotai autóbuszgarázs
1460,Cinkotai autóbuszgarázs
0460,Cinkotai autóbuszgarázs
1461,Cinkotai autóbuszgarázs
0078,Cinkotai autóbuszgarázs
2765,Cinkotai autóbuszgarázs
0920,Cinkotai köztemető
0921,Cinkotai köztemető
0085,Cinkotai út
1085,Cinkotai út
0070,Cinkotai út
2770,Cinkotai út
4770,Cinkotai út /ogyoródi út
4778,Cinkotai út /ogyoródi út
0160,Clark Ádám tér
3410,Clark Ádám tér
3190,Clark Ádám tér
3198,Clark Ádám tér
1050,Clark Ádám tér
3040,Corvin-negyed
MP53,Corvin-negyed
3060,Corvin-negyed
0990,Corvin körút
3420,Corvin körút
1942,Corvin körút
3428,Corvin körút
1940,Corvin körút
3500,Corvin körút
1990,Corvin körút
3508,Corvin körút
1340,Czetz János köz
0340,Czetz János köz
1150,Czuczor utca
0150,Czuczor utca
2175,Csaba utca
0980,Csaba utca
0985,Csaba utca
2170,Csaba utca
2025,Csaba vezér tér
1615,Csaba vezér tér
1695,Csaba vezér tér
2690,Csaba vezér tér
1610,Csaba vezér tér
2980,Csaba vezér tér
2620,Csabagyöngye utca
1620,Csabagyöngye utca
4741,Csáktornya park
4740,Csáktornya park
0290,Csalit utca
1110,Csalit utca
1150,Csanády utca (Lehel tér)
4768,Csanády utca (Lehel tér)
4760,Csanády utca (Lehel tér)
0150,Csanády utca (Lehel tér)
0931,Csapó utca
0930,Csapó utca
0090,Császár-Komjádi uszoda
1090,Császár-Komjádi uszoda
