service_id,date,exception_type
B92452AHPKM-0071,20201228,1
B92452AHPKM-0071,20201229,1
B92452AHPKM-0071,20201230,1
B92452AHPKM-0071,20201231,1
B92452AHPKM-0071,20210104,1
B92452AHPKM-0071,20210105,1
B92452AHPKM-0071,20210106,1
B92452AHPKM-0071,20210107,1
B92452AHPKM-0071,20210108,1
B92452AHPKM-0071,20210111,1
B92452AHPKM-0071,20210112,1
B92452AHPKM-0071,20210113,1
B92452AHPKM-0071,20210114,1
B92452AHPKM-0071,20210115,1
B92452AHPKM-0071,20210118,1
B92452AHPKM-0071,20210119,1
B92452AHPKM-0071,20210120,1
B92452AHPKM-0071,20210121,1
B92452AHPKM-0071,20210122,1
B92452AHPKM-0071,20210125,1
B92452AHPKM-0071,20210126,1
B92452AHPKM-0071,20210127,1
B92452AHPKM-0071,20210128,1
B92452AHPKM-0071,20210129,1
B92452AHPKM-0071,20210201,1
B92490AHPRG-0021,20201214,1
B92490AHPRG-0021,20201215,1
B92490AHPRG-0021,20201216,1
B92490AHPRG-0021,20201217,1
B92490AHPRG-0021,20201218,1
B92490AHPRG-0021,20201221,1
B92490AHPRG-0021,20201222,1
B92490AHPRG-0021,20201223,1
B92490AHPRG-0021,20201228,1
B92490AHPRG-0021,20201229,1
B92490AHPRG-0021,20201230,1
B92490AHPRG-0021,20201231,1
B92490AHPRG-0021,20210104,1
B92490AHPRG-0021,20210105,1
B92490AHPRG-0021,20210106,1
B92490AHPRG-0021,20210107,1
B92490AHPRG-0021,20210108,1
B92490AHPRG-0021,20210111,1
B92490AHPRG-0021,20210112,1
B92490AHPRG-0021,20210113,1
B92490AHPRG-0021,20210114,1
B92490AHPRG-0021,20210115,1
B92490AHPRG-0021,20210118,1
B92490AHPRG-0021,20210119,1
B92490AHPRG-0021,20210120,1
B92490AHPRG-0021,20210121,1
B92490AHPRG-0021,20210122,1
B92490AHPRG-0021,20210125,1
B92490AHPRG-0021,20210126,1
B92490AHPRG-0021,20210127,1
B92490AHPRG-0021,20210128,1
B92490AHPRG-0021,20210129,1
B92490AHPRG-0021,20210201,1
B92491ASZRG-0021,20201219,1
B92491ASZRG-0021,20210102,1
B92491ASZRG-0021,20210109,1
B92491ASZRG-0021,20210116,1
B92491ASZRG-0021,20210123,1
B92491ASZRG-0021,20210130,1
B92492AVVRG-0021,20201213,1
B92492AVVRG-0021,20201220,1
B92492AVVRG-0021,20201225,1
B92492AVVRG-0021,20201226,1
B92492AVVRG-0021,20201227,1
B92492AVVRG-0021,20210101,1
B92492AVVRG-0021,20210103,1
B92492AVVRG-0021,20210110,1
B92492AVVRG-0021,20210117,1
B92492AVVRG-0021,20210124,1
B92492AVVRG-0021,20210131,1
B93074AVVMAA-051,20201213,1
B93074AVVMAA-051,20201220,1
B93074AVVMAA-051,20201225,1
B93074AVVMAA-051,20201226,1
B93074AVVMAA-051,20201227,1
B93074AVVMAA-051,20210101,1
B93550AHPSzN-031,20201214,1
B93550AHPSzN-031,20201215,1
B93550AHPSzN-031,20201216,1
B93550AHPSzN-031,20201217,1
B93550AHPSzN-031,20201218,1
B93550AHPSzN-031,20210104,1
B93550AHPSzN-031,20210105,1
B93550AHPSzN-031,20210106,1
B93550AHPSzN-031,20210107,1
B93550AHPSzN-031,20210108,1
B93550AHPSzN-031,20210111,1
B93550AHPSzN-031,20210112,1
B93550AHPSzN-031,20210113,1
B93550AHPSzN-031,20210114,1
B93550AHPSzN-031,20210115,1
B93550AHPSzN-031,20210118,1
B93550AHPSzN-031,20210119,1
B93550AHPSzN-031,20210120,1
B93550AHPSzN-031,20210121,1
B93550AHPSzN-031,20210122,1
B93550AHPSzN-031,20210125,1
B93550AHPSzN-031,20210126,1
B93550AHPSzN-031,20210127,1
B93550AHPSzN-031,20210128,1
B93550AHPSzN-031,20210129,1
B93550AHPSzN-031,20210201,1
B93921ASZKM-0031,20201219,1
B93921ASZKM-0031,20210102,1
B93921ASZKM-0031,20210109,1
B93921ASZKM-0031,20210116,1
B93921ASZKM-0031,20210123,1
B93921ASZKM-0031,20210130,1
B93922AVVKM-0031,20201213,1
B93922AVVKM-0031,20201220,1
B93922AVVKM-0031,20201225,1
B93922AVVKM-0031,20201226,1
B93922AVVKM-0031,20201227,1
B93922AVVKM-0031,20210101,1
B93922AVVKM-0031,20210103,1
B93922AVVKM-0031,20210110,1
B93922AVVKM-0031,20210117,1
B93922AVVKM-0031,20210124,1
B93922AVVKM-0031,20210131,1
B93930K1HPKM-0021,20201221,1
B93930K1HPKM-0021,20201222,1
B93930K1HPKM-0021,20201223,1
B93930K1HPKM-0031,20201221,1
