route_1,clustering
9010,0.69005847953216374269
9070,0.70952380952380952381
9080,0.60333333333333333333
9090,0.89166666666666666667
9140,0.5954415954415954416
9160,0.82417582417582417582
9180,0.73157894736842105263
9220,1
9230,0.57549857549857549858
9300,1
9310,0.61823361823361823362
9340,0.75
9370,1
9380,0.73856209150326797386
9400,0.63970588235294117647
9410,0.78181818181818181818
9430,0.66666666666666666667
9480,0.66190476190476190476
9500,0.55172413793103448276
9501,0.5738916256157635468
9560,0.58666666666666666667
9600,0.50980392156862745098
9630,0.84444444444444444444
9640,0.63636363636363636364
9660,0.84615384615384615385
9680,0.68888888888888888889
9720,0.64705882352941176471
9722,0.64705882352941176471
9730,0.66333333333333333333
9790,0.67028985507246376812
9791,0.74761904761904761905
9800,0.65367965367965367965
9900,0.68571428571428571429
9920,1
9940,0.76666666666666666667
9960,0.58479532163742690058
9961,0.63970588235294117647
9980,0.61818181818181818182
9990,0.84761904761904761905
