route_1,degree
9010,19
9070,21
9080,25
9090,16
9140,27
9160,14
9180,20
9220,4
9230,27
9300,5
9310,27
9340,9
9370,2
9380,18
9400,17
9410,11
9430,4
9480,21
9500,30
9501,29
9560,25
9600,18
9630,10
9640,12
9660,13
9680,10
9720,17
9722,17
9730,25
9790,24
9791,21
9800,22
9900,21
9920,5
9940,16
9960,19
9961,17
9980,11
9990,15
